vehicle_id,lap_number,lap_time,tire_degradation_est,fuel_remaining_est,position_est,gap_to_avg,stint_number,track_conditions
GR86-002-2,2,1476.949,4,95,4,541.116,1,dry
GR86-002-2,1,394.717,0,100,4,-541.1160000000001,1,dry
GR86-004-78,19,249.7,72,10,4,79.98352631578948,2,dry
GR86-004-78,18,151.2,68,15,25,-18.516473684210524,2,dry
GR86-004-78,17,149.779,64,20,25,-19.937473684210516,2,dry
GR86-004-78,16,149.821,60,25,20,-19.895473684210515,2,dry
GR86-004-78,15,150.8,56,30,24,-18.9164736842105,2,dry
GR86-004-78,14,217.99,52,35,2,48.273526315789496,2,dry
GR86-004-78,13,209.546,48,40,5,39.82952631578948,2,dry
GR86-004-78,12,149.731,44,45,2,-19.98547368421052,1,dry
GR86-004-78,11,149.78,40,50,30,-19.93647368421051,1,dry
GR86-004-78,10,149.289,36,55,22,-20.427473684210526,1,dry
GR86-004-78,9,149.245,32,60,13,-20.47147368421051,1,dry
GR86-004-78,8,149.465,28,65,3,-20.25147368421051,1,dry
GR86-004-78,7,149.511,24,70,17,-20.205473684210517,1,dry
GR86-004-78,6,149.868,20,75,8,-19.848473684210518,1,dry
GR86-004-78,5,150.212,16,80,29,-19.504473684210524,1,dry
GR86-004-78,4,150.09,12,85,2,-19.62647368421051,1,dry
GR86-004-78,3,154.623,8,90,14,-15.093473684210522,1,dry
GR86-004-78,2,223.651,4,95,22,53.9345263157895,1,dry
GR86-004-78,1,220.312,0,100,29,50.5955263157895,1,dry
GR86-006-7,19,0.044,72,10,4,-112.85076666666666,2,dry
GR86-006-7,19,237.523,72,10,15,124.62823333333334,2,dry
GR86-006-7,19,0.089,72,10,18,-112.80576666666666,2,dry
GR86-006-7,18,150.567,68,15,8,37.67223333333335,2,dry
GR86-006-7,17,149.892,64,20,1,36.99723333333334,2,dry
GR86-006-7,16,149.932,60,25,7,37.03723333333333,2,dry
GR86-006-7,15,149.28,56,30,8,36.385233333333346,2,dry
GR86-006-7,14,222.493,52,35,8,109.59823333333334,2,dry
GR86-006-7,13,212.183,48,40,12,99.28823333333334,2,dry
GR86-006-7,12,149.119,44,45,3,36.224233333333345,1,dry
GR86-006-7,11,148.787,40,50,18,35.89223333333335,1,dry
GR86-006-7,10,148.889,36,55,1,35.994233333333355,1,dry
GR86-006-7,9,148.922,32,60,8,36.02723333333334,1,dry
GR86-006-7,8,148.695,28,65,9,35.80023333333334,1,dry
GR86-006-7,7,148.556,24,70,24,35.66123333333336,1,dry
GR86-006-7,7,0.178,24,70,7,-112.71676666666666,1,dry
GR86-006-7,6,0.044,20,75,13,-112.85076666666666,1,dry
GR86-006-7,6,149.088,20,75,18,36.19323333333334,1,dry
GR86-006-7,5,149.505,16,80,29,36.61023333333334,1,dry
GR86-006-7,4,149.906,12,85,11,37.01123333333335,1,dry
GR86-006-7,3,151.839,8,90,23,38.944233333333344,1,dry
GR86-006-7,2,223.523,4,95,24,110.62823333333334,1,dry
GR86-006-7,1,0.044,0,100,14,-112.85076666666666,1,dry
GR86-006-7,1,397.745,0,100,13,284.85023333333334,1,dry
GR86-010-16,19,248.418,72,10,5,87.09533333333334,2,dry
GR86-010-16,18,150.645,68,15,28,-10.677666666666653,2,dry
GR86-010-16,17,149.348,64,20,15,-11.97466666666665,2,dry
GR86-010-16,16,149.406,60,25,21,-11.916666666666657,2,dry
GR86-010-16,15,149.69,56,30,29,-11.632666666666665,2,dry
GR86-010-16,14,221.1,52,35,22,59.77733333333333,2,dry
GR86-010-16,13,212.794,48,40,25,51.47133333333335,2,dry
GR86-010-16,12,148.993,44,45,19,-12.329666666666668,1,dry
GR86-010-16,11,148.994,40,50,29,-12.328666666666663,1,dry
GR86-010-16,10,148.713,36,55,10,-12.60966666666667,1,dry
GR86-010-16,9,148.887,32,60,13,-12.435666666666663,1,dry
GR86-010-16,8,148.918,28,65,17,-12.404666666666657,1,dry
GR86-010-16,7,149.061,24,70,21,-12.261666666666656,1,dry
GR86-010-16,6,149.219,20,75,7,-12.103666666666669,1,dry
GR86-010-16,5,150.181,16,80,17,-11.141666666666652,1,dry
GR86-010-16,4,149.928,12,85,6,-11.394666666666666,1,dry
GR86-010-16,3,151.86,8,90,14,-9.46266666666665,1,dry
GR86-010-16,2,223.539,4,95,2,62.216333333333324,1,dry
GR86-010-16,1,388.082,0,100,28,226.75933333333333,1,dry
GR86-012-8,19,282.127,72,10,16,151.56056,2,dry
GR86-012-8,18,154.606,68,15,31,24.039559999999994,2,dry
GR86-012-8,17,153.694,64,20,6,23.12755999999999,2,dry
GR86-012-8,16,154.397,60,25,10,23.83055999999999,2,dry
GR86-012-8,15,159.368,56,30,11,28.801559999999995,2,dry
GR86-012-8,14,0.044,52,35,15,-130.52244,2,dry
GR86-012-8,14,207.295,52,35,17,76.72855999999999,2,dry
GR86-012-8,13,157.794,48,40,13,27.22756000000001,2,dry
GR86-012-8,12,157.299,44,45,31,26.732560000000007,1,dry
GR86-012-8,11,155.382,40,50,25,24.815560000000005,1,dry
GR86-012-8,10,154.619,36,55,24,24.05256,1,dry
GR86-012-8,9,0.043,32,60,18,-130.52344,1,dry
GR86-012-8,9,156.612,32,60,13,26.045559999999995,1,dry
GR86-012-8,8,156.083,28,65,11,25.51656,1,dry
GR86-012-8,7,154.573,24,70,7,24.006560000000007,1,dry
GR86-012-8,6,0.045,20,75,23,-130.52144,1,dry
GR86-012-8,6,155.353,20,75,21,24.78656000000001,1,dry
GR86-012-8,5,156.049,16,80,11,25.482560000000007,1,dry
GR86-012-8,4,77.451,12,85,14,-53.11544000000001,1,dry
GR86-012-8,3,244.54,8,90,31,113.97355999999999,1,dry
GR86-012-8,2,221.186,4,95,23,90.61956,1,dry
GR86-012-8,1,205.601,0,100,30,75.03456,1,dry
GR86-013-80,19,258.983,72,10,8,88.37605263157894,2,dry
GR86-013-80,18,153.52,68,15,2,-17.08694736842105,2,dry
GR86-013-80,17,152.673,64,20,1,-17.93394736842106,2,dry
GR86-013-80,16,152.216,60,25,16,-18.390947368421052,2,dry
GR86-013-80,15,157.296,56,30,15,-13.310947368421068,2,dry
GR86-013-80,14,191.601,52,35,29,20.99405263157894,2,dry
GR86-013-80,13,156.577,48,40,24,-14.029947368421062,2,dry
GR86-013-80,12,158.311,44,45,11,-12.295947368421054,1,dry
GR86-013-80,11,153.866,40,50,20,-16.740947368421047,1,dry
GR86-013-80,10,154.489,36,55,22,-16.117947368421056,1,dry
GR86-013-80,9,154.624,32,60,27,-15.982947368421065,1,dry
GR86-013-80,8,165.3,28,65,2,-5.306947368421049,1,dry
GR86-013-80,7,175.687,24,70,26,5.080052631578951,1,dry
GR86-013-80,6,154.0,20,75,27,-16.60694736842106,1,dry
GR86-013-80,5,154.5,16,80,5,-16.10694736842106,1,dry
GR86-013-80,4,155.43,12,85,18,-15.176947368421054,1,dry
GR86-013-80,3,161.876,8,90,22,-8.730947368421056,1,dry
GR86-013-80,2,221.783,4,95,5,51.176052631578926,1,dry
GR86-013-80,1,208.8,0,100,2,38.19305263157895,1,dry
GR86-015-31,15,252.807,56,30,5,62.317764705882354,2,dry
GR86-015-31,14,150.179,52,35,8,-40.31023529411763,2,dry
GR86-015-31,13,150.664,48,40,13,-39.82523529411765,2,dry
GR86-015-31,12,151.149,44,45,30,-39.34023529411763,1,dry
GR86-015-31,11,153.207,40,50,26,-37.28223529411764,1,dry
GR86-015-31,10,154.179,36,55,22,-36.31023529411763,1,dry
GR86-015-31,9,152.88,32,60,22,-37.60923529411764,1,dry
GR86-015-31,8,152.764,28,65,27,-37.725235294117624,1,dry
GR86-015-31,7,162.131,24,70,19,-28.358235294117634,1,dry
GR86-015-31,6,743.025,20,75,23,552.5357647058823,1,dry
GR86-015-31,5,0.044,16,80,9,-190.44523529411762,1,dry
GR86-015-31,5,167.42,16,80,22,-23.069235294117647,1,dry
GR86-015-31,4,244.09,12,85,10,53.60076470588237,1,dry
GR86-015-31,3,161.199,8,90,30,-29.290235294117622,1,dry
GR86-015-31,2,223.678,4,95,23,33.18876470588236,1,dry
GR86-015-31,1,218.901,0,100,30,28.411764705882376,1,dry
GR86-016-55,19,288.061,72,10,14,107.48510526315786,2,dry
GR86-016-55,18,150.53,68,15,12,-30.045894736842115,2,dry
GR86-016-55,17,149.17,64,20,1,-31.40589473684213,2,dry
GR86-016-55,16,149.529,60,25,5,-31.04689473684212,2,dry
GR86-016-55,15,149.682,56,30,25,-30.893894736842128,2,dry
GR86-016-55,14,220.3,52,35,8,39.724105263157895,2,dry
GR86-016-55,13,212.589,48,40,13,32.01310526315788,2,dry
GR86-016-55,12,149.7,44,45,18,-30.875894736842127,1,dry
GR86-016-55,11,148.711,40,50,28,-31.864894736842103,1,dry
GR86-016-55,10,148.656,36,55,18,-31.91989473684211,1,dry
GR86-016-55,9,148.923,32,60,2,-31.652894736842114,1,dry
GR86-016-55,8,149.031,28,65,8,-31.54489473684211,1,dry
GR86-016-55,7,148.989,24,70,19,-31.586894736842112,1,dry
GR86-016-55,6,149.181,20,75,24,-31.394894736842105,1,dry
GR86-016-55,5,150.605,16,80,10,-29.970894736842126,1,dry
GR86-016-55,4,149.678,12,85,14,-30.89789473684212,1,dry
GR86-016-55,3,152.707,8,90,25,-27.868894736842122,1,dry
GR86-016-55,2,223.8,4,95,9,43.224105263157895,1,dry
GR86-016-55,1,391.1,0,100,26,210.5241052631579,1,dry
GR86-021-86,19,252.571,72,10,31,82.53794736842104,2,dry
GR86-021-86,18,154.177,68,15,1,-15.856052631578962,2,dry
GR86-021-86,17,153.914,64,20,12,-16.119052631578967,2,dry
GR86-021-86,16,153.894,60,25,11,-16.13905263157895,2,dry
GR86-021-86,15,155.003,56,30,26,-15.030052631578968,2,dry
GR86-021-86,14,213.714,52,35,14,43.680947368421045,2,dry
GR86-021-86,13,165.478,48,40,31,-4.5550526315789455,2,dry
GR86-021-86,12,157.031,44,45,11,-13.002052631578948,1,dry
GR86-021-86,11,153.689,40,50,12,-16.34405263157896,1,dry
GR86-021-86,10,153.37,36,55,13,-16.66305263157895,1,dry
GR86-021-86,9,154.527,32,60,15,-15.506052631578967,1,dry
GR86-021-86,8,154.888,28,65,15,-15.145052631578949,1,dry
GR86-021-86,7,153.316,24,70,15,-16.71705263157895,1,dry
GR86-021-86,6,155.26,20,75,21,-14.773052631578963,1,dry
GR86-021-86,5,154.72,16,80,25,-15.313052631578955,1,dry
GR86-021-86,4,154.461,12,85,12,-15.572052631578941,1,dry
GR86-021-86,3,162.228,8,90,14,-7.8050526315789455,1,dry
GR86-021-86,2,221.892,4,95,8,51.85894736842104,1,dry
GR86-021-86,1,206.495,0,100,3,36.46194736842105,1,dry
GR86-022-13,19,257.419,72,10,28,109.55973913043476,2,dry
GR86-022-13,18,150.891,68,15,28,3.0317391304347723,2,dry
GR86-022-13,17,150.311,64,20,2,2.451739130434788,2,dry
GR86-022-13,16,149.256,60,25,3,1.3967391304347814,2,dry
GR86-022-13,15,150.0,56,30,28,2.140739130434781,2,dry
GR86-022-13,14,221.022,52,35,26,73.16273913043477,2,dry
GR86-022-13,13,212.801,48,40,21,64.94173913043477,2,dry
GR86-022-13,12,149.2,44,45,30,1.3407391304347698,1,dry
GR86-022-13,11,148.756,40,50,6,0.8967391304347814,1,dry
GR86-022-13,10,0.044,36,55,23,-147.8152608695652,1,dry
GR86-022-13,10,148.712,36,55,8,0.8527391304347702,1,dry
GR86-022-13,9,148.887,32,60,29,1.0277391304347816,1,dry
GR86-022-13,8,148.889,28,65,1,1.0297391304347912,1,dry
GR86-022-13,7,148.8,24,70,20,0.9407391304347925,1,dry
GR86-022-13,6,149.601,20,75,30,1.7417391304347802,1,dry
GR86-022-13,5,150.179,16,80,20,2.319739130434783,1,dry
GR86-022-13,4,149.864,12,85,28,2.0047391304347855,1,dry
GR86-022-13,3,0.046,8,90,25,-147.81326086956523,1,dry
GR86-022-13,3,152.575,8,90,1,4.71573913043477,1,dry
GR86-022-13,2,223.507,4,95,22,75.64773913043479,1,dry
GR86-022-13,1,390.003,0,100,3,242.14373913043477,1,dry
GR86-024-41,19,256.657,72,10,12,116.19952173913043,2,dry
GR86-024-41,18,151.62,68,15,5,11.162521739130455,2,dry
GR86-024-41,17,149.404,64,20,24,8.946521739130446,2,dry
GR86-024-41,16,150.119,60,25,22,9.66152173913045,2,dry
GR86-024-41,15,151.59,56,30,25,11.132521739130453,2,dry
GR86-024-41,14,218.677,52,35,17,78.21952173913044,2,dry
GR86-024-41,13,209.393,48,40,31,68.93552173913045,2,dry
GR86-024-41,12,149.662,44,45,12,9.204521739130456,1,dry
GR86-024-41,11,0.045,40,50,27,-140.41247826086956,1,dry
GR86-024-41,11,149.483,40,50,1,9.025521739130454,1,dry
GR86-024-41,10,149.484,36,55,2,9.026521739130459,1,dry
GR86-024-41,9,149.316,32,60,1,8.858521739130452,1,dry
GR86-024-41,8,149.24,28,65,2,8.782521739130459,1,dry
GR86-024-41,7,0.044,24,70,28,-140.41347826086954,1,dry
GR86-024-41,7,149.908,24,70,16,9.450521739130437,1,dry
GR86-024-41,6,150.397,20,75,31,9.939521739130441,1,dry
GR86-024-41,5,150.398,16,80,4,9.940521739130446,1,dry
GR86-024-41,4,149.975,12,85,21,9.517521739130444,1,dry
GR86-024-41,3,153.548,8,90,4,13.090521739130452,1,dry
GR86-024-41,2,223.252,4,95,9,82.79452173913046,1,dry
GR86-024-41,1,218.31,0,100,21,77.85252173913045,1,dry
GR86-025-47,19,258.443,72,10,31,104.5837619047619,2,dry
GR86-025-47,18,152.012,68,15,24,-1.8472380952380831,2,dry
GR86-025-47,17,150.211,64,20,29,-3.648238095238071,2,dry
GR86-025-47,16,150.714,60,25,16,-3.145238095238085,2,dry
GR86-025-47,15,152.299,56,30,12,-1.560238095238077,2,dry
GR86-025-47,14,217.097,52,35,15,63.237761904761925,2,dry
GR86-025-47,13,204.403,48,40,28,50.54376190476191,2,dry
GR86-025-47,12,0.047,44,45,14,-153.8122380952381,1,dry
GR86-025-47,13,0.044,48,40,27,-153.81523809523807,2,dry
GR86-025-47,12,150.886,44,45,26,-2.973238095238088,1,dry
GR86-025-47,11,149.814,40,50,12,-4.045238095238091,1,dry
GR86-025-47,10,150.89,36,55,3,-2.9692380952380972,1,dry
GR86-025-47,9,150.495,32,60,18,-3.364238095238079,1,dry
GR86-025-47,8,149.675,28,65,30,-4.184238095238072,1,dry
GR86-025-47,7,150.679,24,70,28,-3.1802380952380815,1,dry
GR86-025-47,6,150.246,20,75,20,-3.6132380952380743,1,dry
GR86-025-47,5,149.888,16,80,25,-3.9712380952380784,1,dry
GR86-025-47,4,151.005,12,85,28,-2.854238095238088,1,dry
GR86-025-47,3,154.595,8,90,18,0.7357619047619153,1,dry
GR86-025-47,2,223.277,4,95,22,69.4177619047619,1,dry
GR86-025-47,1,214.324,0,100,8,60.46476190476193,1,dry
GR86-026-72,19,242.84,72,10,17,73.50778947368423,2,dry
GR86-026-72,18,150.379,68,15,11,-18.953210526315786,2,dry
GR86-026-72,17,149.763,64,20,13,-19.56921052631577,2,dry
GR86-026-72,16,149.519,60,25,24,-19.81321052631577,2,dry
GR86-026-72,15,149.87,56,30,6,-19.462210526315772,2,dry
GR86-026-72,14,218.815,52,35,2,49.48278947368422,2,dry
GR86-026-72,13,213.785,48,40,22,44.45278947368422,2,dry
GR86-026-72,12,148.997,44,45,31,-20.335210526315763,1,dry
GR86-026-72,11,149.293,40,50,29,-20.03921052631577,1,dry
GR86-026-72,10,148.685,36,55,17,-20.647210526315774,1,dry
GR86-026-72,9,149.222,32,60,10,-20.110210526315768,1,dry
GR86-026-72,8,148.905,28,65,24,-20.427210526315775,1,dry
GR86-026-72,7,149.178,24,70,10,-20.15421052631578,1,dry
GR86-026-72,6,148.977,20,75,15,-20.355210526315773,1,dry
GR86-026-72,5,150.833,16,80,9,-18.49921052631578,1,dry
GR86-026-72,4,149.8,12,85,6,-19.532210526315765,1,dry
GR86-026-72,3,152.871,8,90,13,-16.461210526315767,1,dry
GR86-026-72,2,223.597,4,95,19,54.26478947368423,1,dry
GR86-026-72,1,221.983,0,100,25,52.65078947368423,1,dry
GR86-028-89,19,274.498,72,10,22,102.76852631578944,2,dry
GR86-028-89,18,154.23,68,15,9,-17.499473684210557,2,dry
GR86-028-89,17,151.278,64,20,10,-20.451473684210555,2,dry
GR86-028-89,16,150.911,60,25,10,-20.818473684210545,2,dry
GR86-028-89,15,150.88,56,30,23,-20.84947368421055,2,dry
GR86-028-89,14,206.1,52,35,30,34.37052631578945,2,dry
GR86-028-89,13,156.091,48,40,11,-15.638473684210538,2,dry
GR86-028-89,12,150.589,44,45,25,-21.140473684210548,1,dry
GR86-028-89,11,150.411,40,50,1,-21.318473684210545,1,dry
GR86-028-89,10,150.778,36,55,17,-20.951473684210555,1,dry
GR86-028-89,9,149.796,32,60,17,-21.933473684210554,1,dry
GR86-028-89,8,149.755,28,65,9,-21.97447368421055,1,dry
GR86-028-89,7,149.816,24,70,4,-21.913473684210544,1,dry
GR86-028-89,6,159.238,20,75,1,-12.491473684210547,1,dry
GR86-028-89,5,212.55,16,80,9,40.820526315789465,1,dry
GR86-028-89,4,149.797,12,85,30,-21.93247368421055,1,dry
GR86-028-89,3,152.688,8,90,10,-19.04147368421056,1,dry
GR86-028-89,2,222.874,4,95,13,51.14452631578945,1,dry
GR86-028-89,1,220.58,0,100,30,48.850526315789466,1,dry
GR86-029-14,19,261.979,72,10,28,91.91984210526314,2,dry
GR86-029-14,18,150.385,68,15,1,-19.67415789473685,2,dry
GR86-029-14,17,150.301,64,20,12,-19.758157894736854,2,dry
GR86-029-14,16,152.411,60,25,1,-17.64815789473684,2,dry
GR86-029-14,15,151.204,56,30,7,-18.855157894736834,2,dry
GR86-029-14,14,215.98,52,35,7,45.92084210526315,2,dry
GR86-029-14,13,193.509,48,40,25,23.449842105263144,2,dry
GR86-029-14,12,151.913,44,45,22,-18.14615789473683,1,dry
GR86-029-14,11,152.39,40,50,27,-17.669157894736855,1,dry
GR86-029-14,10,150.656,36,55,15,-19.403157894736836,1,dry
GR86-029-14,9,151.54,32,60,6,-18.51915789473685,1,dry
GR86-029-14,8,153.816,28,65,11,-16.24315789473684,1,dry
GR86-029-14,7,151.26,24,70,23,-18.79915789473685,1,dry
GR86-029-14,6,151.616,20,75,14,-18.443157894736828,1,dry
GR86-029-14,5,151.301,16,80,28,-18.758157894736854,1,dry
GR86-029-14,4,151.103,12,85,21,-18.956157894736833,1,dry
GR86-029-14,3,155.457,8,90,25,-14.602157894736848,1,dry
GR86-029-14,2,223.128,4,95,5,53.068842105263144,1,dry
GR86-029-14,1,211.175,0,100,8,41.11584210526317,1,dry
GR86-030-18,19,278.528,72,10,1,122.62623809523811,2,dry
GR86-030-18,18,164.38,68,15,16,8.478238095238083,2,dry
GR86-030-18,17,153.407,64,20,23,-2.4947619047619014,2,dry
